idElset,classificationMarking,satNo,epoch,meanMotion,idOnOrbit,uct,eccentricity,inclination,raan,argOfPerigee,meanAnomaly,bStar,meanMotionDot,meanMotionDDot,semiMajorAxis,period,apogee,perigee,origObjectId,line1,line2,createdAt,createdBy,source,dataMode,ephemType,origNetwork,elset
d0fef368-fe2a-4f3c-9d2b-856a7899d060,U//PR-EXO-ELSETS,33459,2025-10-07T20:05:43.452586Z,1.002669847321617,33459,False,0.0005754243090774741,2.295930768866711,82.15782918353395,139.1606800869522,84.3665308854511,0.0,0.0,0.0,42166.07975644274,1436.165656967348,42190.3431437531,42141.81636913239,33459,1 33459U 08065A   25280.83730848 +.00000000 +00000+0 +00000+0 2 99990,2 33459   2.2959  82.1578 0005754 139.1607  84.3665  1.00266984000000,2025-10-07T20:57:28.675Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 33459, 'classification': 'U', 'COSPAR_ID': '08065A', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 2.2959, 'RAAN': 82.1578, 'eccentricity': 0.0005754, 'perigee': 139.1607, 'mean_anomaly': 84.3665, 'mean_motion': 1.00266984, 'rev_num': 0, 'line1': '1 33459U 08065A   25280.83730848 +.00000000 +00000+0 +00000+0 2 99990', 'line2': '2 33459   2.2959  82.1578 0005754 139.1607  84.3665  1.00266984000000', 'epoch': datetime.datetime(2025, 10, 7, 20, 5, 43, 452672)}"
e2e002c3-2fb1-404d-8fc9-642d9fd0fae8,U//PR-EXO-ELSETS,37481,2025-10-07T18:31:39.527295Z,1.00267815868747,37481,False,0.0002126491350510815,3.981298339807696,52.73926247111562,156.4320429901934,137.2297056440416,0.0,0.0,0.0,42165.84674169346,1436.153752351596,42174.81327253178,42156.88021085514,37481,1 37481U 11019A   25280.77198527 +.00000000 +00000+0 +00000+0 2 99997,2 37481   3.9813  52.7393 0002126 156.4320 137.2297  1.00267815000001,2025-10-07T19:03:29.903Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 37481, 'classification': 'U', 'COSPAR_ID': '11019A', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 3.9813, 'RAAN': 52.7393, 'eccentricity': 0.0002126, 'perigee': 156.432, 'mean_anomaly': 137.2297, 'mean_motion': 1.00267815, 'rev_num': 0, 'line1': '1 37481U 11019A   25280.77198527 +.00000000 +00000+0 +00000+0 2 99997', 'line2': '2 37481   3.9813  52.7393 0002126 156.4320 137.2297  1.00267815000001', 'epoch': datetime.datetime(2025, 10, 7, 18, 31, 39, 527328)}"
da117934-2451-408c-9ba0-432fb5691263,U//PR-EXO-ELSETS,21807,2025-10-07T18:31:46.002094Z,1.012770932674805,21807,False,0.001993518866333489,13.64876167600492,344.5955588837837,339.2174979836907,15.22113156008376,0.0,0.0,0.0,41885.24340968433,1421.841754676797,41968.74243264251,41801.74438672615,21807,1 21807U 91080D   25280.77206021 +.00000000 +00000+0 +00000+0 2 99997,2 21807  13.6488 344.5956 0019935 339.2175  15.2211  1.01277093000005,2025-10-07T20:12:29.970Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 21807, 'classification': 'U', 'COSPAR_ID': '91080D', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 13.6488, 'RAAN': 344.5956, 'eccentricity': 0.0019935, 'perigee': 339.2175, 'mean_anomaly': 15.2211, 'mean_motion': 1.01277093, 'rev_num': 0, 'line1': '1 21807U 91080D   25280.77206021 +.00000000 +00000+0 +00000+0 2 99997', 'line2': '2 21807  13.6488 344.5956 0019935 339.2175  15.2211  1.01277093000005', 'epoch': datetime.datetime(2025, 10, 7, 18, 31, 46, 2144)}"
aae4afa8-ee94-4dca-bf31-a47d72cf3337,U//PR-EXO-ELSETS,12471,2025-10-07T18:42:37.752331Z,1.013402415759265,12471,False,0.003203044003225555,6.114470776395922,289.4898757303098,194.059363846452,229.8845142594728,0.0,0.0,0.0,41867.84158917364,1420.955760127252,42001.94612810385,41733.73705024344,12471,1 12471U 80104E   25280.77960361 +.00000000 +00000+0 +00000+0 2 99993,2 12471   6.1145 289.4899 0032030 194.0594 229.8845  1.01340241000007,2025-10-07T19:42:28.124Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 12471, 'classification': 'U', 'COSPAR_ID': '80104E', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 6.1145, 'RAAN': 289.4899, 'eccentricity': 0.003203, 'perigee': 194.0594, 'mean_anomaly': 229.8845, 'mean_motion': 1.01340241, 'rev_num': 0, 'line1': '1 12471U 80104E   25280.77960361 +.00000000 +00000+0 +00000+0 2 99993', 'line2': '2 12471   6.1145 289.4899 0032030 194.0594 229.8845  1.01340241000007', 'epoch': datetime.datetime(2025, 10, 7, 18, 42, 37, 751904)}"
09f2a0db-dbdc-4b43-81e7-0659a84c5718,U//PR-EXO-ELSETS,47242,2025-10-07T18:31:05.185095Z,0.9529424791506453,47242,False,0.00825811629682812,4.674611403434506,79.80332188660583,270.856981706482,143.3001743495251,0.0,0.0,0.0,43620.50989558096,1511.109045410031,43980.7331392256,43260.28665193631,47242,1 47242U 20097A   25280.77158779 +.00000000 +00000+0 +00000+0 2 99994,2 47242   4.6746  79.8033 0082581 270.8570 143.3002  0.95294247000006,2025-10-07T21:57:29.836Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 47242, 'classification': 'U', 'COSPAR_ID': '20097A', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 4.6746, 'RAAN': 79.8033, 'eccentricity': 0.0082581, 'perigee': 270.857, 'mean_anomaly': 143.3002, 'mean_motion': 0.95294247, 'rev_num': 0, 'line1': '1 47242U 20097A   25280.77158779 +.00000000 +00000+0 +00000+0 2 99994', 'line2': '2 47242   4.6746  79.8033 0082581 270.8570 143.3002  0.95294247000006', 'epoch': datetime.datetime(2025, 10, 7, 18, 31, 5, 185056)}"
aaf85e40-95ce-410c-8d27-6680bf2a039f,U//PR-EXO-ELSETS,37233,2025-10-07T20:18:04.756149Z,1.040337514065116,37233,False,0.02131725561119967,8.783630105364354,86.01474351673042,57.52080630946563,173.0470424455127,0.0,0.0,0.0,41142.02745353203,1384.166177352583,42019.06256912196,40264.99233794209,37233,1 37233U 10063B   25280.84588838 +.00000000 +00000+0 +00000+0 2 99996,2 37233   8.7836  86.0147 0213172  57.5208 173.0470  1.04033751000007,2025-10-07T22:39:28.380Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 37233, 'classification': 'U', 'COSPAR_ID': '10063B', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 8.7836, 'RAAN': 86.0147, 'eccentricity': 0.0213172, 'perigee': 57.5208, 'mean_anomaly': 173.047, 'mean_motion': 1.04033751, 'rev_num': 0, 'line1': '1 37233U 10063B   25280.84588838 +.00000000 +00000+0 +00000+0 2 99996', 'line2': '2 37233   8.7836  86.0147 0213172  57.5208 173.0470  1.04033751000007', 'epoch': datetime.datetime(2025, 10, 7, 20, 18, 4, 756032)}"
d1124c40-5104-42fc-af62-f677ca6adf30,U//PR-EXO-ELSETS,18575,2025-10-07T18:31:41.168485Z,1.002783796641832,18575,False,0.0007326071196785238,11.37425749745251,328.5269427492013,162.1041170527139,216.550835738542,0.0,0.0,0.0,42162.88539082288,1436.002461170929,42193.77422084638,42131.99656079937,18575,1 18575U 87096A   25280.77200426 +.00000000 +00000+0 +00000+0 2 99990,2 18575  11.3743 328.5269 0007326 162.1041 216.5508  1.00278379000009,2025-10-07T21:12:27.937Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 18575, 'classification': 'U', 'COSPAR_ID': '87096A', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 11.3743, 'RAAN': 328.5269, 'eccentricity': 0.0007326, 'perigee': 162.1041, 'mean_anomaly': 216.5508, 'mean_motion': 1.00278379, 'rev_num': 0, 'line1': '1 18575U 87096A   25280.77200426 +.00000000 +00000+0 +00000+0 2 99990', 'line2': '2 18575  11.3743 328.5269 0007326 162.1041 216.5508  1.00278379000009', 'epoch': datetime.datetime(2025, 10, 7, 18, 31, 41, 168064)}"
24a744a1-55e7-40c0-9afb-54e9d7f7e8e9,U//PR-EXO-ELSETS,16199,2025-10-07T18:31:34.893081Z,1.002655829467167,16199,False,0.0007566029560530961,10.13762515732426,320.4274206914473,235.2379589924374,154.1889508528172,0.0,0.0,0.0,42166.47276374334,1436.18573560306,42198.37604168272,42134.56948580396,16199,1 16199U 85102A   25280.77193163 +.00000000 +00000+0 +00000+0 2 99995,2 16199  10.1376 320.4274 0007566 235.2380 154.1890  1.00265582000002,2025-10-07T21:09:39.067Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 16199, 'classification': 'U', 'COSPAR_ID': '85102A', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 10.1376, 'RAAN': 320.4274, 'eccentricity': 0.0007566, 'perigee': 235.238, 'mean_anomaly': 154.189, 'mean_motion': 1.00265582, 'rev_num': 0, 'line1': '1 16199U 85102A   25280.77193163 +.00000000 +00000+0 +00000+0 2 99995', 'line2': '2 16199  10.1376 320.4274 0007566 235.2380 154.1890  1.00265582000002', 'epoch': datetime.datetime(2025, 10, 7, 18, 31, 34, 892832)}"
42499026-838d-4b09-903e-103ee6ccc051,U//PR-EXO-ELSETS,23568,2025-10-07T18:33:58.034047Z,1.005592412925608,23568,False,0.0005197421381142944,18.17034619689745,8.684149320429295,319.8200995460896,35.58457621126922,0.0,0.0,0.0,42084.34160068441,1431.991711045784,42106.21460636907,42062.46859499973,23568,1 23568U 95022B   25280.77358836 +.00000000 +00000+0 +00000+0 2 99995,2 23568  18.1703   8.6841 0005197 319.8201  35.5846  1.00559241000007,2025-10-07T19:54:28.829Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 23568, 'classification': 'U', 'COSPAR_ID': '95022B', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 18.1703, 'RAAN': 8.6841, 'eccentricity': 0.0005197, 'perigee': 319.8201, 'mean_anomaly': 35.5846, 'mean_motion': 1.00559241, 'rev_num': 0, 'line1': '1 23568U 95022B   25280.77358836 +.00000000 +00000+0 +00000+0 2 99995', 'line2': '2 23568  18.1703   8.6841 0005197 319.8201  35.5846  1.00559241000007', 'epoch': datetime.datetime(2025, 10, 7, 18, 33, 58, 34304)}"
75d78af3-4252-44c4-a69b-a02790104562,U//PR-EXO-ELSETS,54225,2025-10-07T03:20:34.347238Z,1.002669421535002,54225,False,0.0002094244096634665,0.05129301484655975,234.3217141252221,307.7657126114629,257.1154310481652,0.0,0.0,0.0,42166.09169374444,1436.166266839455,42174.92230260522,42157.26108488366,54225,1 54225U 22146A   25280.13928643 +.00000000 +00000+0 +00000+0 2 99995,2 54225   0.0513 234.3217 0002094 307.7657 257.1154  1.00266942000006,2025-10-07T03:54:28.987Z,system.exo,EXO,REAL,2,OPS1,"{'NORAD_ID': 54225, 'classification': 'U', 'COSPAR_ID': '22146A', 'BC': 0.0, 'n_ddot': 0.0, 'B_star': 0.0, 'ephemeris_type': 2, 'elset_num': 9999, 'inclination': 0.0513, 'RAAN': 234.3217, 'eccentricity': 0.0002094, 'perigee': 307.7657, 'mean_anomaly': 257.1154, 'mean_motion': 1.00266942, 'rev_num': 0, 'line1': '1 54225U 22146A   25280.13928643 +.00000000 +00000+0 +00000+0 2 99995', 'line2': '2 54225   0.0513 234.3217 0002094 307.7657 257.1154  1.00266942000006', 'epoch': datetime.datetime(2025, 10, 7, 3, 20, 34, 347552)}"
