idStateVector,classificationMarking,epoch,idOnOrbit,satNo,origObjectId,uct,xpos,ypos,zpos,xvel,yvel,zvel,cov,posUnc,velUnc,solarRadPressCoeff,source,dataMode,createdAt,createdBy,origNetwork,referenceFrame,covReferenceFrame,eqCov,dragCoeff,revNo,geopotentialModel,dragModel,lunarSolar,solarRadPress,solidEarthTides,inTrackThrust,bDot,edr,thrustAccel,cmOffset,solarFluxF10,solarFluxF10Avg,solarFluxAPAvg,taiUtc,ut1Utc,ut1Rate,polarMotionX,polarMotionY,iau1980Terms,leapSecondTime,integratorMode,partials,stepMode,fixedStep,stepSizeSelection,stepSize,errorControl,sigmaPosUVW,sigmaVelUVW,rms,algorithm,mass,crossSection
29b649cf-4315-4a01-aeff-648f86318a84,U//PR-EXO-SV,2025-10-07 21:10:15.604104,21939,21939,21939,False,38826.63161981858,-16312.18205068263,-5194.89358176947,1.231361100367486,2.724115842268383,0.666745604074777,"[0.00075267297493, 0.00045612489409, 0.0015775536114, 0.00015641903292, -4.7133671818e-06, 0.0015071981103, -9.0369827578e-08, 2.609020317e-08, 4.6165022731e-09, 2.1800632423e-11, 1.1079870082e-09, 2.1292387211e-09, 3.0821602244e-09, -2.3091142274e-12, 1.2176103159e-12, -1.9644139482e-09, 5.1479819385e-09, -8.1121051063e-09, 1.864684917e-13, -6.673686162299999e-13, 3.3008858599e-12]",0.06194695066450003,5.130217207760311e-06,0.0653,EXO,REAL,2025-10-07T21:42:27.779Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.69,23.75807737
e8a3f269-7da7-4471-a152-8f4dd6c566de,U//PR-EXO-SV,2025-10-07 21:09:14.440083,36868,36868,36868,False,41761.47009384823,2828.65988166647,-5227.53804772972,-0.187717692411922,3.063668450462417,0.156730162842729,"[0.00019046153504, -6.2980693201e-05, 0.00068076861926, 2.34553611e-05, 2.2994599143e-05, 0.00030849736363, -1.0073386694e-08, -1.2585468538e-08, -8.4809011091e-10, 2.5165031343e-12, -1.3694577864e-08, 2.8936272266e-10, 1.2834956287e-09, 9.5052744187e-13, 1.0559040999e-12, -1.128250599e-09, 2.5482347107e-09, -7.250895929700001e-09, -1.4281963462e-14, -6.5300882653e-14, 1.283621462e-12]",0.03434716171578083,2.203639874435022e-06,0.0192,EXO,REAL,2025-10-07T21:30:27.536Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200.0,35.02733333
3dda0d81-d92a-4a4a-aab7-e3fc8c2ea508,U//PR-EXO-SV,2025-10-07 21:08:46.576222,19776,19776,19776,False,38112.43797359677,-19644.72948041822,-640.51648269528,1.364690903898402,2.636336152599587,0.6842708203869899,"[0.0001271483452, 0.0002156567989, 0.00045015087535, 2.2029548817e-05, 3.311487484e-05, 0.00039508785966, -2.370694113e-09, -2.949180991e-09, -8.6659340198e-10, 4.4706686828e-13, 1.3254932798e-10, 2.6743259277e-09, 5.1414981333e-10, -1.6378172032e-13, 1.8990757929e-13, -2.0421984904e-10, 2.8790450283e-10, 2.062899213e-10, -2.1688751291e-14, -5.3968566028e-14, 3.51302439e-13]",0.03118312172009082,9.94121162922307e-07,0.01,EXO,REAL,2025-10-07T21:30:27.520Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120.91,23.59650242
35fb9ccc-1f70-47a5-91dd-495e68682a23,U//PR-EXO-SV,2025-10-07 21:08:44.177684,23132,23132,23132,False,37305.48098020881,-18994.48645213028,-5148.99277612089,1.432979441136316,2.666533367282127,0.533817219883201,"[0.00047683142791, 0.00081835208413, 0.0015583494471, 0.00017417646624, 0.0002255460228, 0.00044565903759, -6.8260105532e-09, -4.0371385334e-09, -7.7595375347e-10, 1.1185342687e-12, 9.0717380206e-10, 2.4134261704e-09, 8.5759436897e-10, -2.3827760805e-13, 1.6570684957e-13, 3.1725064464e-10, 9.8270846091e-10, -1.4161397705e-09, -7.1535598208e-14, -2.9133896608e-14, 3.3175931743e-13]",0.04980803060350811,1.271220057936469e-06,0.0072,EXO,REAL,2025-10-07T21:51:29.800Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268.58,58.81043193
d8e182d1-65a7-44c0-bf8e-12048e1479fa,U//PR-EXO-SV,2025-10-07 21:08:44.177684,25639,25639,25639,False,37260.20729084265,-18998.7129899905,-5410.6833657365,1.435596075392538,2.672291865354696,0.497736388470818,"[0.0010971705295, -0.00022331542511, 0.0015712307411, -3.0295380137e-05, 0.00018101093442, 0.00063838020086, -1.2701262261e-07, 7.3473957452e-08, 1.5281554792e-08, 1.9423006642e-11, -2.171180413e-08, 3.629771036e-08, 1.0419864973e-08, 2.0069064379e-12, 2.0017201462e-12, 2.001346986e-09, 5.0788769229e-09, -1.556229263e-08, -7.5276869277e-13, -2.0953465921e-13, 2.5904665534e-12]",0.05750462130524816,4.900529904163427e-06,0.0372,EXO,REAL,2025-10-07T21:36:28.262Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.0,12.88906667
312a62d8-5ccd-4eaa-8675-21a010c3f2f5,U//PR-EXO-SV,2025-10-07 21:08:37.889084,11841,11841,11841,False,42243.99637938508,-3041.62836893447,4852.619596581409,0.195931618507254,3.044312299676441,0.211178198164797,"[7.362648465500001e-06, 2.618293892e-05, 0.00037891533852, -3.1982734279e-05, 8.575691137e-06, 0.00028686730087, -5.4449386621e-11, -1.3131511272e-09, -8.805727932899999e-11, 1.032338864e-13, -1.2451884011e-10, 9.8147699146e-11, -2.1790061802e-11, -9.0682774612e-15, 1.0342288074e-14, -1.4461729718e-11, -1.3372357063e-10, 2.9118432145e-11, 7.979549901499999e-15, -2.9226175671e-15, 3.6703449875e-14]",0.02594504360866445,3.876591600220483e-07,0.0111,EXO,REAL,2025-10-07T23:42:25.989Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101.09,23.8702275
e3afc51f-cbd6-4598-b456-5ecfe4874196,U//PR-EXO-SV,2025-10-07 21:08:22.977718,54259,54259,54259,False,40439.03313248466,-11965.57961474003,-122.59830937844,0.871877389848759,2.947949008541707,-0.004523872198947,"[0.027525060956, -0.011978293918, 0.0061865718386, 0.0026309160653, -0.0011771777539, 0.0014719437992, 3.9488706997e-06, -1.7296052735e-06, 3.7994776955e-07, 6.2529603474e-10, -1.5084024978e-06, 7.742375822999999e-07, -1.5183543707e-07, -2.7158916677e-10, 1.7128447508e-10, 2.6686667902e-07, -1.2033706837e-07, 1.3796286247e-07, 4.599134945e-11, -2.3982898995e-11, 3.1392198245e-11]",0.187572856761846,2.877451490581553e-05,0.0264,EXO,REAL,2025-10-07T21:57:28.254Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,75.81533333
987ac064-393f-44e0-9c40-027b845eeb4c,U//PR-EXO-SV,2025-10-07 21:08:22.977718,44801,44801,44801,False,40649.80402124807,-11227.29640288319,-91.33738764515,0.8188317461389899,2.963099352936851,-0.001289782806395,"[7.0043993634e-05, 0.00010609261581, 0.0006062518661799999, 3.1201387509e-06, -4.5866906178e-06, 0.00034315306191, -4.2162675217e-09, -6.527034958699999e-09, -1.1436970436e-10, 1.0334744863e-12, -1.8683324974e-09, 5.853342916899999e-09, -2.2708711479e-10, -7.8000148705e-14, 2.6488804719e-13, -1.0745049196e-10, 5.8645789709e-10, 1.1223476296e-09, 2.8638292339e-14, 1.2342389714e-14, 6.3968492927e-13]",0.0319288102146635,1.392137731246445e-06,0.03,EXO,REAL,2025-10-07T21:39:36.559Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4007.0,39.4233
79a08f74-9456-4857-bc29-99ce60a7bc55,U//PR-EXO-SV,2025-10-07 21:07:34.827990,31306,31306,31306,False,41834.54527823491,-5336.39392963485,-581.83268975385,0.389377056950786,3.049026823473833,-0.002027997751357,"[6.5988668874e-05, 4.6301074854e-06, 0.00059670210465, 8.6643764064e-06, -7.2181675923e-06, 0.00028904065105, -4.072948301e-09, -7.1609055232e-09, -2.6567855185e-10, 1.1786575091e-12, -4.2551082094e-09, 5.8622897203e-09, -3.7019980078e-10, 1.0159505139e-13, 3.4812667478e-13, -2.1159932523e-10, 6.313984714500001e-10, 2.1746413725e-09, 2.2411913974e-14, 2.0962838348e-14, 7.492842625800001e-13]",0.03085014464429624,1.508664457876568e-06,0.0428,EXO,REAL,2025-10-07T21:51:29.818Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4505.0,56.7612
68d37981-215e-42eb-9273-48ee78bba524,U//PR-EXO-SV,2025-10-07 21:07:34.827990,60086,60086,60086,False,41814.72100331386,-5455.87386886964,-72.96335161739,0.398747489395411,3.048426499270128,0.000875594010758,"[6.3759740538e-05, -3.223767545e-05, 0.0007740315721199999, 8.7307803102e-06, -1.8939819896e-05, 0.0003740480012, -3.1108413554e-09, -2.835991513e-08, -4.0431870595e-11, 2.3633089748e-12, -4.6073329988e-09, 1.1769382819e-08, -7.603364779600001e-10, -2.1229736045e-13, 4.5638094004e-13, 2.5236644502e-10, -3.5652290294e-10, 5.5317822785e-09, -2.6315698287e-14, -1.9806241138e-14, 7.8486215629e-13]",0.03481148250014641,1.898565793205492e-06,0.0381,EXO,REAL,2025-10-07T21:51:29.837Z,system.exo,OPS1,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,62.256
